"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
12 Feb 2024 09:00:00.000,177.337702,2365.383554,-6852.751599,3.980618,5.853459,2.113120
12 Feb 2024 11:02:25.211,3769.797900,6172.288214,-9.080795,0.973395,-0.628632,7.324446
12 Feb 2024 23:44:29.872,-3713.096303,-6161.542159,-140.348331,-0.943597,0.690664,-7.361630
13 Feb 2024 07:21:44.646,3677.532638,6226.227756,-8.931758,0.982379,-0.615178,7.325708
13 Feb 2024 09:00:00.000,3395.267203,6220.786122,-1472.611208,1.735021,0.711068,7.167834
13 Feb 2024 18:22:12.640,-3630.222465,-6212.026889,-143.246024,-0.951655,0.679759,-7.360373
14 Feb 2024 06:13:28.909,-3577.120389,-6243.586867,-144.983336,-0.956762,0.672694,-7.359569
14 Feb 2024 09:00:00.000,3030.106946,3605.446565,5435.652757,-2.174024,-5.352389,4.706744
14 Feb 2024 16:23:08.555,-3531.401799,-6270.288096,-146.525359,-0.961059,0.666669,-7.358859
14 Feb 2024 19:46:21.762,-3516.111577,-6279.114673,-147.027698,-0.962501,0.664651,-7.358623
15 Feb 2024 05:05:13.075,3467.128111,6342.471669,-8.434534,1.001935,-0.584433,7.328616
15 Feb 2024 09:00:00.000,-392.883864,-2895.661193,6545.650601,-3.689574,-5.860771,-2.810278
15 Feb 2024 16:05:40.986,-3423.904527,-6331.318354,-149.751588,-0.971105,0.652205,-7.357209
15 Feb 2024 21:10:30.780,-3400.720904,-6344.169968,-150.371055,-0.973258,0.649030,-7.356852
16 Feb 2024 03:06:08.862,3364.491598,6395.851414,-8.060312,1.010996,-0.569431,7.330080
16 Feb 2024 09:00:00.000,-3221.617574,-6403.363542,634.123376,-1.354398,-0.090142,-7.328294
16 Feb 2024 13:15:48.420,3316.819844,6419.940362,-8.001641,1.015169,-0.562330,7.330757
17 Feb 2024 01:57:52.858,-3268.448890,-6415.437663,-153.736578,-0.985298,0.630823,-7.354780
17 Feb 2024 09:00:00.000,-2622.651628,-3137.416952,-5973.176228,2.180390,5.804772,-4.043282
17 Feb 2024 10:25:55.799,-3229.259810,-6435.887565,-154.677392,-0.988786,0.625399,-7.354160
17 Feb 2024 15:30:45.555,-3205.675514,-6448.047700,-155.192644,-0.990886,0.622092,-7.353790
18 Feb 2024 02:31:13.343,3140.557377,6505.129317,-7.627274,1.030014,-0.536075,7.333328
18 Feb 2024 09:00:00.000,553.538286,3490.370911,-6333.013860,3.299484,5.658756,3.416653
18 Feb 2024 16:54:54.279,-3087.060670,-6507.572593,-157.554687,-1.001284,0.605308,-7.351928
19 Feb 2024 06:27:46.902,-3023.327596,-6538.440343,-158.660586,-1.006768,0.596164,-7.350937
19 Feb 2024 09:00:00.000,2982.245173,6576.759332,-93.629127,1.078987,-0.432206,7.334839
19 Feb 2024 16:37:26.358,-2975.337331,-6561.197366,-159.529016,-1.010783,0.589328,-7.350175
19 Feb 2024 20:51:27.789,2937.634579,6595.983430,-7.118803,1.046124,-0.505622,7.336320
20 Feb 2024 06:10:18.924,-2911.049307,-6590.990808,-160.482119,-1.016162,0.579996,-7.349179
20 Feb 2024 09:00:00.000,2275.128390,2757.174157,6223.232355,-2.111543,-6.244845,3.504584
20 Feb 2024 18:52:23.183,2831.055752,6640.728695,-6.850905,1.054177,-0.489497,7.337888
21 Feb 2024 06:43:39.134,2773.388763,6664.101403,-6.721931,1.058434,-0.480717,7.338738
21 Feb 2024 09:00:00.000,-675.868797,-4062.724914,5872.713482,-2.976626,-5.483995,-4.108038
21 Feb 2024 17:44:06.786,-2740.844528,-6666.283099,-162.508695,-1.029977,0.554941,-7.346517
22 Feb 2024 02:12:09.583,-2700.007546,-6683.575192,-162.855522,-1.033222,0.548817,-7.345886
22 Feb 2024 09:00:00.000,-2744.303235,-6626.279273,-780.059784,-0.793359,1.140778,-7.303012
22 Feb 2024 12:21:48.925,-2650.844220,-6704.003708,-163.242329,-1.037059,0.541428,-7.345129
23 Feb 2024 04:27:06.189,2549.134571,6749.535071,-6.266296,1.074251,-0.446279,7.342055
23 Feb 2024 09:00:00.000,-1944.612694,-2198.595330,-6629.088593,1.983352,6.556009,-2.773751
23 Feb 2024 16:18:22.057,2490.575684,6770.430865,-6.070226,1.078159,-0.437293,7.342935
23 Feb 2024 19:41:35.158,2473.808984,6776.313349,-6.045652,1.079262,-0.434679,7.343185
24 Feb 2024 05:51:14.446,2423.410041,6793.727775,-6.014675,1.082596,-0.426788,7.343916
24 Feb 2024 09:00:00.000,689.951677,4589.082218,-5563.184793,2.604212,5.162400,4.614086
24 Feb 2024 16:51:42.000,-2394.356531,-6803.841715,-164.181124,-1.056376,0.502044,-7.341197
25 Feb 2024 03:52:09.527,2313.833037,6830.140804,-5.737867,1.089544,-0.409747,7.345523
25 Feb 2024 09:00:00.000,2444.894314,6646.511068,1315.210290,0.633474,-1.709515,7.218903
25 Feb 2024 15:43:25.314,2254.617083,6849.001769,-5.543783,1.093169,-0.400540,7.346398
25 Feb 2024 21:39:03.200,-2251.978578,-6854.472400,-164.024233,-1.066484,0.479650,-7.339065
26 Feb 2024 06:57:54.150,2178.228953,6872.528907,-5.394067,1.097752,-0.388522,7.347503
26 Feb 2024 09:00:00.000,1651.821507,1665.295633,6773.801879,-1.829201,-6.923712,2.136631
27 Feb 2024 00:44:47.738,-2116.910015,-6899.407189,-163.448880,-1.075660,0.458073,-7.337098
27 Feb 2024 09:00:00.000,-706.775294,-5152.658436,4958.281347,-2.285132,-4.786833,-5.244571
27 Feb 2024 15:08:28.243,2016.206911,6919.388650,-5.006613,1.106999,-0.362936,7.349836
28 Feb 2024 03:50:32.189,-1980.896610,-6941.703600,-162.444859,-1.084496,0.436004,-7.335136
28 Feb 2024 09:00:00.000,-2173.843748,-6548.137692,-2168.583954,-0.474658,2.430677,-6.988972
28 Feb 2024 16:32:36.122,1887.578550,6953.711352,-4.664282,1.113900,-0.342514,7.351656
29 Feb 2024 04:23:51.768,1827.347593,6968.927287,-4.556987,1.117005,-0.332849,7.352492
29 Feb 2024 09:00:00.000,-1427.276656,-1063.199656,-7031.386340,1.602305,7.073643,-1.392998
29 Feb 2024 16:15:07.405,1767.000895,6983.607084,-4.398557,1.120018,-0.323189,7.353341
29 Feb 2024 22:10:45.220,-1766.554840,-7002.431501,-160.045684,-1.097531,0.400548,-7.332127
1 Mar 2024 07:29:36.055,1689.246834,7001.737331,-4.244088,1.123783,-0.310652,7.354408
1 Mar 2024 09:00:00.000,595.238858,5577.225555,-4562.446929,1.971201,4.369127,5.656285
1 Mar 2024 17:39:15.142,1637.300989,7013.342007,-4.131730,1.126217,-0.302257,7.355122
2 Mar 2024 02:07:17.705,1593.954830,7022.730493,-4.020756,1.128193,-0.295255,7.355704
2 Mar 2024 09:00:00.000,1856.931541,6397.529869,2694.522821,0.431892,-3.032268,6.804688
2 Mar 2024 10:35:20.257,1550.567821,7031.845763,-3.906881,1.130127,-0.288232,7.356290
2 Mar 2024 17:21:46.292,1515.805613,7038.953906,-3.839452,1.131637,-0.282569,7.356755
3 Mar 2024 01:49:48.825,1472.328345,7047.600466,-3.728108,1.133493,-0.275503,7.357326
3 Mar 2024 09:00:00.000,1223.002476,398.089709,7052.616321,-1.381552,-7.313181,0.662422
3 Mar 2024 12:50:16.103,-1445.667164,-7080.053244,-154.619642,-1.114970,0.345935,-7.327898
4 Mar 2024 00:41:31.604,-1384.516250,-7093.071359,-153.437885,-1.117991,0.335422,-7.327127
4 Mar 2024 09:00:00.000,-507.160782,-6074.941684,3838.035907,-1.699663,-3.807151,-6.165058
4 Mar 2024 13:23:35.331,1289.171461,7081.022067,-3.300190,1.140812,-0.245524,7.359695
5 Mar 2024 04:38:03.775,1210.453237,7093.915079,-3.084896,1.143696,-0.232593,7.360684
5 Mar 2024 09:00:00.000,-1589.885553,-6156.166495,-3475.153896,-0.410454,3.690839,-6.400178
5 Mar 2024 19:01:43.941,-1165.061192,-7135.217076,-148.179891,-1.128108,0.296771,-7.324463
6 Mar 2024 06:02:11.112,1078.970890,7113.486389,-2.825784,1.148213,-0.210801,7.362305
6 Mar 2024 09:00:00.000,-1118.120416,203.538852,-7158.212193,1.101605,7.307688,0.055019
7 Mar 2024 00:39:52.429,982.331568,7126.344988,-2.706053,1.151256,-0.194635,7.363445
7 Mar 2024 09:00:00.000,301.928461,6374.582961,-3359.997258,1.473656,3.306815,6.493223
7 Mar 2024 19:17:33.719,885.596051,7137.887299,-2.365021,1.154056,-0.178612,7.364580
8 Mar 2024 06:18:00.814,-855.469918,-7182.604472,-139.499757,-1.140184,0.241184,-7.320999
8 Mar 2024 09:00:00.000,1300.165742,5824.234045,3982.657099,0.481704,-4.299665,6.092444
8 Mar 2024 16:27:39.658,-802.165878,-7189.358542,-137.864064,-1.141986,0.231497,-7.320437
9 Mar 2024 01:46:30.243,726.998913,7154.035909,-1.960973,1.158147,-0.152056,7.366349
9 Mar 2024 09:00:00.000,1029.898277,-958.844001,7039.032314,-0.845210,-7.365277,-0.850983
9 Mar 2024 09:23:44.351,-713.175791,-7199.712497,-134.992611,-1.144845,0.215202,-7.319526
9 Mar 2024 15:19:21.986,656.420873,7160.110441,-1.805869,1.159774,-0.140152,7.367107
10 Mar 2024 00:38:12.546,-632.954677,-7208.055887,-132.270479,-1.147247,0.200405,-7.318742
10 Mar 2024 09:00:00.000,-125.320052,-6754.701826,2554.766391,-1.291381,-2.605846,-6.830959
10 Mar 2024 12:29:27.789,-570.471632,-7213.920326,-130.112944,-1.148966,0.188847,-7.318146
